dataset,cow_id,view,image_path,weight_kg
CowDatabase2,3,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/3/raw_data/left/rgb.png,633.0
CowDatabase2,3,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/3/raw_data/right/rgb.png,633.0
CowDatabase2,3,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/3/raw_data/top/rgb.png,633.0
CowDatabase2,4,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/4/raw_data/left/rgb.png,632.0
CowDatabase2,4,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/4/raw_data/right/rgb.png,632.0
CowDatabase2,4,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/4/raw_data/top/rgb.png,632.0
CowDatabase2,5,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/5/raw_data/left/rgb.png,604.0
CowDatabase2,5,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/5/raw_data/right/rgb.png,604.0
CowDatabase2,5,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/5/raw_data/top/rgb.png,604.0
CowDatabase2,7,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/7/raw_data/left/rgb.png,617.0
CowDatabase2,7,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/7/raw_data/right/rgb.png,617.0
CowDatabase2,7,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/7/raw_data/top/rgb.png,617.0
CowDatabase2,8,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/8/raw_data/left/rgb.png,619.0
CowDatabase2,8,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/8/raw_data/right/rgb.png,619.0
CowDatabase2,8,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/8/raw_data/top/rgb.png,619.0
CowDatabase2,9,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/9/raw_data/left/rgb.png,592.0
CowDatabase2,9,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/9/raw_data/right/rgb.png,592.0
CowDatabase2,9,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/9/raw_data/top/rgb.png,592.0
CowDatabase2,12,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/12/raw_data/left/rgb.png,746.0
CowDatabase2,12,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/12/raw_data/right/rgb.png,746.0
CowDatabase2,12,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/12/raw_data/top/rgb.png,746.0
CowDatabase2,13,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/13/raw_data/left/rgb.png,612.0
CowDatabase2,13,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/13/raw_data/right/rgb.png,612.0
CowDatabase2,13,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/13/raw_data/top/rgb.png,612.0
