dataset,cow_id,view,image_path,weight_kg
CowDB,1,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/1/raw/left/rgb-12.09.07.767.png,415.0
CowDB,1,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/1/raw/right/rgb-12.09.07.778.png,415.0
CowDB,1,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/1/raw/top/rgb-12.09.07.765.png,415.0
CowDB,2,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/2/raw/left/rgb-12.15.22.153.png,407.0
CowDB,2,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/2/raw/right/rgb-12.15.22.188.png,407.0
CowDB,2,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/2/raw/top/rgb-12.15.22.142.png,407.0
CowDB,3,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/3/raw/left/rgb-12.20.11.699.png,448.0
CowDB,3,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/3/raw/right/rgb-12.20.11.688.png,448.0
CowDB,3,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/3/raw/top/rgb-12.20.11.691.png,448.0
CowDB,4,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/4/raw/left/rgb-12.24.08.077.png,443.0
CowDB,4,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/4/raw/right/rgb-12.24.08.096.png,443.0
CowDB,4,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/4/raw/top/rgb-12.24.08.106.png,443.0
CowDB,5,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/5/raw/left/rgb-12.27.25.234.png,410.0
CowDB,5,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/5/raw/right/rgb-12.27.25.276.png,410.0
CowDB,5,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/5/raw/top/rgb-12.27.25.197.png,410.0
CowDB,6,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/6/raw/left/rgb-12.31.11.526.png,441.0
CowDB,6,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/6/raw/right/rgb-12.31.11.492.png,441.0
CowDB,6,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/6/raw/top/rgb-12.31.11.495.png,441.0
CowDB,7,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/7/raw/left/rgb-12.35.29.510.png,427.0
CowDB,7,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/7/raw/right/rgb-12.35.29.490.png,427.0
CowDB,7,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/7/raw/top/rgb-12.35.29.513.png,427.0
