cow_id,view,file_path,file_name,frame_number_parsed
1,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/1/raw_data/left/cloud.ply,cloud.ply,
1,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/1/raw_data/left/depth.png,depth.png,
1,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/1/raw_data/left/rgb.png,rgb.png,
1,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/1/raw_data/right/cloud.ply,cloud.ply,
1,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/1/raw_data/right/depth.png,depth.png,
1,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/1/raw_data/right/rgb.png,rgb.png,
1,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/1/raw_data/top/cloud.ply,cloud.ply,
1,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/1/raw_data/top/depth.png,depth.png,
1,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/1/raw_data/top/rgb.png,rgb.png,
100,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/100/raw_data/left/cloud.ply,cloud.ply,
100,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/100/raw_data/left/depth.png,depth.png,
100,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/100/raw_data/left/rgb.png,rgb.png,
100,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/100/raw_data/right/cloud.ply,cloud.ply,
100,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/100/raw_data/right/depth.png,depth.png,
100,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/100/raw_data/right/rgb.png,rgb.png,
100,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/100/raw_data/top/cloud.ply,cloud.ply,
100,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/100/raw_data/top/depth.png,depth.png,
100,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/100/raw_data/top/rgb.png,rgb.png,
101,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/101/raw_data/left/cloud.ply,cloud.ply,
101,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/101/raw_data/left/depth.png,depth.png,
