cow_id,view,file_path,file_name,frame_number_parsed,frame_number,weight_kg
1,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/1/raw_data/left/cloud.ply,cloud.ply,,3,633
1,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/1/raw_data/right/cloud.ply,cloud.ply,,3,633
1,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/1/raw_data/top/cloud.ply,cloud.ply,,3,633
12,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/12/raw_data/left/cloud.ply,cloud.ply,,17,626
12,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/12/raw_data/right/cloud.ply,cloud.ply,,17,626
12,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/12/raw_data/top/cloud.ply,cloud.ply,,17,626
13,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/13/raw_data/left/cloud.ply,cloud.ply,,18,625
13,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/13/raw_data/right/cloud.ply,cloud.ply,,18,625
13,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/13/raw_data/top/cloud.ply,cloud.ply,,18,625
14,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/14/raw_data/left/cloud.ply,cloud.ply,,19,600
14,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/14/raw_data/right/cloud.ply,cloud.ply,,19,600
14,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/14/raw_data/top/cloud.ply,cloud.ply,,19,600
15,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/15/raw_data/left/cloud.ply,cloud.ply,,20,619
15,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/15/raw_data/right/cloud.ply,cloud.ply,,20,619
15,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/15/raw_data/top/cloud.ply,cloud.ply,,20,619
16,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/16/raw_data/left/cloud.ply,cloud.ply,,21,606
16,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/16/raw_data/right/cloud.ply,cloud.ply,,21,606
16,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/16/raw_data/top/cloud.ply,cloud.ply,,21,606
17,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/17/raw_data/left/cloud.ply,cloud.ply,,22,612
17,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/17/raw_data/right/cloud.ply,cloud.ply,,22,612
17,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/17/raw_data/top/cloud.ply,cloud.ply,,22,612
18,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/18/raw_data/left/cloud.ply,cloud.ply,,23,612
18,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/18/raw_data/right/cloud.ply,cloud.ply,,23,612
18,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/18/raw_data/top/cloud.ply,cloud.ply,,23,612
19,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/19/raw_data/left/cloud.ply,cloud.ply,,24,617
19,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/19/raw_data/right/cloud.ply,cloud.ply,,24,617
19,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/19/raw_data/top/cloud.ply,cloud.ply,,24,617
2,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/2/raw_data/left/cloud.ply,cloud.ply,,4,632
2,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/2/raw_data/right/cloud.ply,cloud.ply,,4,632
2,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/2/raw_data/top/cloud.ply,cloud.ply,,4,632
20,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/20/raw_data/left/cloud.ply,cloud.ply,,25,648
20,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/20/raw_data/right/cloud.ply,cloud.ply,,25,648
20,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/20/raw_data/top/cloud.ply,cloud.ply,,25,648
21,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/21/raw_data/left/cloud.ply,cloud.ply,,26,693
21,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/21/raw_data/right/cloud.ply,cloud.ply,,26,693
21,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/21/raw_data/top/cloud.ply,cloud.ply,,26,693
22,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDatabase2/22/raw_data/left/cloud.ply,cloud.ply,,27,595
