dataset,cow_id,view,has_rgb_png,has_depth_png,has_view_ply,has_top_level_ply,has_aligned_ply
CowDB,1,left,True,True,False,True,False
CowDB,1,right,True,True,False,True,False
CowDB,1,top,True,True,False,True,False
CowDB,10,left,True,True,False,True,False
CowDB,10,right,True,True,False,True,False
CowDB,10,top,True,True,False,True,False
CowDB,100,left,True,True,False,True,False
CowDB,100,right,True,True,False,True,False
CowDB,100,top,True,True,False,True,False
CowDB,101,left,True,True,False,True,False
CowDB,101,right,True,True,False,True,False
CowDB,101,top,True,True,False,True,False
CowDB,102,left,True,True,False,True,False
CowDB,102,right,True,True,False,True,False
CowDB,102,top,True,True,False,True,False
CowDB,103,left,True,True,False,True,False
CowDB,103,right,True,True,False,True,False
CowDB,103,top,True,True,False,True,False
CowDB,104,left,True,True,False,True,False
CowDB,104,right,True,True,False,True,False
CowDB,104,top,True,True,False,True,False
CowDB,105,left,True,True,False,True,False
CowDB,105,right,True,True,False,True,False
CowDB,105,top,True,True,False,True,False
CowDB,106,left,True,True,False,True,False
CowDB,106,right,True,True,False,True,False
CowDB,106,top,True,True,False,True,False
CowDB,107,left,True,True,False,True,False
CowDB,107,right,True,True,False,True,False
CowDB,107,top,True,True,False,True,False
CowDB,108,left,True,True,False,True,False
CowDB,108,right,True,True,False,True,False
CowDB,108,top,True,True,False,True,False
CowDB,109,left,True,True,False,True,False
CowDB,109,right,True,True,False,True,False
CowDB,109,top,True,True,False,True,False
CowDB,11,left,True,True,False,True,False
CowDB,11,right,True,True,False,True,False
CowDB,11,top,True,True,False,True,False
CowDB,110,left,True,True,False,True,False
CowDB,110,right,True,True,False,True,False
CowDB,110,top,True,True,False,True,False
CowDB,111,left,True,True,False,True,False
CowDB,111,right,True,True,False,True,False
CowDB,111,top,True,True,False,True,False
CowDB,112,left,True,True,False,True,False
CowDB,112,right,True,True,False,True,False
CowDB,112,top,True,True,False,True,False
CowDB,113,left,True,True,False,True,False
CowDB,113,right,True,True,False,True,False
CowDB,113,top,True,True,False,True,False
CowDB,114,left,True,True,False,True,False
CowDB,114,right,True,True,False,True,False
CowDB,114,top,True,True,False,True,False
CowDB,115,left,True,True,False,True,False
CowDB,115,right,True,True,False,True,False
CowDB,115,top,True,True,False,True,False
CowDB,116,left,True,True,False,True,False
CowDB,116,right,True,True,False,True,False
CowDB,116,top,True,True,False,True,False
CowDB,117,left,True,True,False,True,False
CowDB,117,right,True,True,False,True,False
CowDB,117,top,True,True,False,True,False
CowDB,118,left,True,True,False,True,False
CowDB,118,right,True,True,False,True,False
CowDB,118,top,True,True,False,True,False
CowDB,119,left,True,True,False,True,False
CowDB,119,right,True,True,False,True,False
CowDB,119,top,True,True,False,True,False
CowDB,12,left,True,True,False,True,False
CowDB,12,right,True,True,False,True,False
CowDB,12,top,True,True,False,True,False
CowDB,120,left,True,True,False,True,False
CowDB,120,right,True,True,False,True,False
CowDB,120,top,True,True,False,True,False
CowDB,121,left,True,True,False,True,False
CowDB,121,right,True,True,False,True,False
CowDB,121,top,True,True,False,True,False
CowDB,122,left,True,True,False,True,False
CowDB,122,right,True,True,False,True,False
CowDB,122,top,True,True,False,True,False
CowDB,123,left,True,True,False,True,False
CowDB,123,right,True,True,False,True,False
CowDB,123,top,True,True,False,True,False
CowDB,124,left,True,True,False,True,False
CowDB,124,right,True,True,False,True,False
CowDB,124,top,True,True,False,True,False
CowDB,125,left,True,True,False,True,False
CowDB,125,right,True,True,False,True,False
CowDB,125,top,True,True,False,True,False
CowDB,126,left,True,True,False,True,False
CowDB,126,right,True,True,False,True,False
CowDB,126,top,True,True,False,True,False
CowDB,127,left,True,True,False,True,False
CowDB,127,right,True,True,False,True,False
CowDB,127,top,True,True,False,True,False
CowDB,128,left,True,True,False,True,False
CowDB,128,right,True,True,False,True,False
CowDB,128,top,True,True,False,True,False
CowDB,129,left,True,True,False,True,False
CowDB,129,right,True,True,False,True,False
CowDB,129,top,True,True,False,True,False
CowDB,13,left,True,True,False,True,False
CowDB,13,right,True,True,False,True,False
CowDB,13,top,True,True,False,True,False
CowDB,130,left,True,True,False,True,False
