dataset,n,weight_kg,withers_height,hip_height,chest_depth,chest_width,ilium_width,hip_joint_width,oblique_body_length,hip_length,heart_girth,cow_id
CowDB,1,415.0,117,122,62,40,43,42.0,145,43,172,1
CowDB,2,407.0,116,121,60,39,42,44.0,127,37,171,2
CowDB,3,448.0,114,121,60,43,41,40.0,128,41,176,3
CowDB,4,443.0,118,123,63,46,44,44.0,150,46,176,4
CowDB,5,410.0,124,127,66,41,42,44.0,140,45,178,5
CowDB,6,441.0,120,124,60,43,43,44.0,138,45,178,6
CowDB,7,427.0,117,121,62,41,43,45.0,149,45,172,7
CowDB,8,380.0,115,117,60,48,41,41.0,137,43,172,8
CowDB,9,416.0,118,120,62,44,42,40.0,140,44,175,9
CowDB,10,424.0,119,122,65,46,44,40.0,151,46,182,10
CowDB,11,450.0,120,124,64,43,43,45.0,138,42,180,11
CowDB,12,429.0,118,120,60,46,40,41.0,140,41,178,12
CowDB,13,410.0,117,119,61,41,41,40.0,143,44,179,13
CowDB,14,464.0,119,122,62,45,44,41.0,133,39,186,14
CowDB,15,407.0,116,129,64,40,39,40.0,139,41,175,15
CowDB,16,312.0,105,110,55,31,38,37.0,137,40,153,16
CowDB,17,412.0,118,120,61,43,43,45.0,143,45,183,17
CowDB,18,414.0,120,124,63,41,42,44.0,144,45,181,18
CowDB,19,378.0,118,120,60,35,43,42.0,143,43,170,19
CowDB,20,441.0,121,124,64,40,43,49.0,152,46,181,20
CowDB,21,373.0,117,120,58,38,36,43.0,138,41,168,21
CowDB,22,394.0,122,125,63,44,41,49.0,148,45,177,22
CowDB,23,439.0,122,125,63,44,41,49.0,148,45,177,23
CowDB,24,441.0,119,123,61,43,41,49.0,148,45,177,24
CowDB,25,434.0,119,121,58,42,44,43.0,154,46,174,25
CowDB,26,414.0,118,121,65,46,41,44.0,142,45,174,26
CowDB,27,400.0,118,118,62,42,42,42.0,142,43,174,27
CowDB,28,464.0,125,128,65,45,42,45.0,159,48,183,28
CowDB,29,442.0,120,124,61,44,44,48.0,144,47,174,29
CowDB,30,416.0,121,124,62,45,44,43.0,149,46,180,30
CowDB,31,444.0,122,126,66,43,44,46.0,452,47,184,31
CowDB,32,395.0,119,122,60,40,42,43.0,148,45,166,32
CowDB,33,293.0,115,118,55,37,37,40.0,133,42,157,33
CowDB,34,444.0,120,123,61,47,44,48.0,145,47,181,34
CowDB,35,440.0,120,122,64,42,43,41.0,142,45,175,35
CowDB,36,313.0,113,116,56,36,36,46.0,143,38,160,36
CowDB,37,445.0,122,127,62,45,46,48.0,144,44,186,37
CowDB,38,444.0,122,124,67,44,44,47.0,151,46,189,38
CowDB,39,437.0,120,125,62,43,42,48.0,153,44,179,39
CowDB,40,375.0,117,119,62,42,43,43.0,150,45,180,40
CowDB,41,436.0,120,122,61,43,43,45.0,152,44,183,41
CowDB,42,428.0,121,125,61,42,44,45.0,151,45,175,42
CowDB,43,362.0,112,115,61,42,40,43.0,138,44,173,43
CowDB,44,470.0,118,125,62,43,45,52.0,156,44,180,44
CowDB,45,381.0,110,116,62,43,42,44.0,142,44,176,45
CowDB,46,428.0,115,119,61,42,43,42.0,148,43,182,46
CowDB,47,382.0,114,117,62,38,40,40.0,149,42,172,47
CowDB,48,538.0,123,129,67,43,47,46.0,170,48,188,48
CowDB,49,462.0,117,120,64,42,45,51.0,151,46,183,49
CowDB,50,410.0,116,120,62,45,47,47.0,144,43,184,50
CowDB,51,431.0,120,125,65,43,43,43.0,147,45,176,51
CowDB,52,467.0,121,128,63,45,45,47.0,151,44,185,52
CowDB,53,468.0,116,122,62,46,44,43.0,161,45,181,53
CowDB,54,469.0,117,123,65,44,44,53.0,155,42,185,54
CowDB,55,454.0,118,121,63,43,43,44.0,148,43,182,55
CowDB,56,474.0,125,131,62,45,45,45.0,160,46,179,56
CowDB,57,485.0,120,122,66,45,46,46.0,164,47,184,57
CowDB,58,489.0,120,126,61,43,46,46.0,459,45,186,58
CowDB,59,513.0,121,124,63,49,48,48.0,162,45,188,59
CowDB,60,458.0,118,120,63,45,44,44.0,150,45,183,60
CowDB,61,452.0,117,123,59,42,42,48.0,152,44,175,61
CowDB,62,462.0,117,122,65,46,44,50.0,148,45,184,62
CowDB,63,454.0,125,130,64,41,43,48.0,161,42,179,63
CowDB,64,468.0,118,120,63,47,46,52.0,155,43,185,64
CowDB,65,482.0,120,121,60,53,50,53.0,157,46,190,65
CowDB,66,459.0,119,121,64,44,43,49.0,156,44,188,66
CowDB,67,560.0,123,129,64,47,48,53.0,163,49,182,67
CowDB,68,477.0,122,126,65,45,46,49.0,152,42,185,68
CowDB,69,432.0,121,127,60,40,45,43.0,158,44,180,69
CowDB,70,455.0,121,123,61,43,42,49.0,149,43,182,70
CowDB,71,480.0,120,125,61,47,47,50.0,157,44,188,71
CowDB,72,456.0,118,120,62,46,43,45.0,154,41,184,72
CowDB,73,428.0,121,123,64,42,43,48.0,152,42,182,73
CowDB,74,478.0,121,127,64,43,46,48.0,162,45,185,74
CowDB,75,480.0,123,125,65,46,45,49.0,154,45,186,75
CowDB,76,463.0,118,119,62,43,46,47.0,152,45,185,76
CowDB,77,495.0,120,124,65,47,48,50.0,162,45,184,77
CowDB,78,489.0,129,124,67,40,45,48.0,152,47,161,78
CowDB,79,486.0,120,125,62,50,45,48.0,155,41,191,79
CowDB,80,497.0,120,125,65,50,43,4.0,157,45,196,80
CowDB,81,440.0,120,121,62,46,45,47.0,154,45,182,81
CowDB,82,445.0,121,122,62,45,44,48.0,456,46,189,82
CowDB,83,453.0,118,121,64,47,47,49.0,152,48,187,83
CowDB,84,445.0,120,124,66,44,44,45.0,154,42,183,84
CowDB,85,401.0,117,120,60,40,41,41.0,150,43,174,85
CowDB,86,486.0,120,124,65,47,45,49.0,152,45,190,86
CowDB,87,451.0,123,125,67,45,44,50.0,162,49,190,87
CowDB,88,466.0,120,120,65,44,45,50.0,147,43,190,88
CowDB,89,440.0,119,120,66,40,46,48.0,153,47,181,89
CowDB,90,417.0,118,120,60,42,42,46.0,149,43,183,90
CowDB,91,471.0,118,120,65,44,43,44.0,161,43,186,91
CowDB,92,506.0,122,127,64,43,47,53.0,155,45,189,92
CowDB,93,450.0,120,120,59,44,44,51.0,157,46,180,93
CowDB,94,451.0,120,120,63,46,44,50.0,149,45,183,94
CowDB,95,462.0,120,121,63,43,44,53.0,147,44,185,95
CowDB,96,487.0,121,122,64,47,47,52.0,159,45,182,96
CowDB,97,462.0,122,124,63,44,45,53.0,158,46,188,97
CowDB,98,346.0,100,100,60,41,41,46.0,146,41,167,98
CowDB,99,407.0,118,119,62,39,43,46.0,150,42,175,99
CowDB,100,366.0,118,121,60,42,40,44.0,141,46,170,100
CowDB,101,312.0,116,119,62,44,45,48.0,148,44,176,101
CowDB,102,378.0,119,125,62,36,40,44.0,149,43,171,102
CowDB,103,382.0,115,122,59,38,42,43.0,148,42,172,103
CowDB,104,408.0,120,126,63,38,40,48.0,151,42,175,104
CowDB,105,323.0,100,100,56,40,36,40.0,135,37,164,105
