dataset,cow_id,view,rgb_path,depth_path,view_ply_path,aligned_ply_path
CowDB,1,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/1/raw/left/rgb-12.09.07.767.png,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/1/raw/left/depth-12.09.07.767.png,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/1/left-12.09.07.767.ply,
CowDB,1,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/1/raw/right/rgb-12.09.07.778.png,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/1/raw/right/depth-12.09.07.778.png,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/1/right-12.09.07.778.ply,
CowDB,1,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/1/raw/top/rgb-12.09.07.765.png,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/1/raw/top/depth-12.09.07.765.png,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/1/top-12.09.07.765.ply,
CowDB,10,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/10/raw/left/rgb-12.49.59.060.png,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/10/raw/left/depth-12.49.59.060.png,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/10/left-12.49.59.060.ply,
CowDB,10,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/10/raw/right/rgb-12.49.59.038.png,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/10/raw/right/depth-12.49.59.038.png,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/10/right-12.49.59.038.ply,
CowDB,10,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/10/raw/top/rgb-12.49.59.064.png,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/10/raw/top/depth-12.49.59.064.png,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/10/top-12.49.59.064.ply,
CowDB,100,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/100/raw/left/rgb-12.13.31.362.png,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/100/raw/left/depth-12.13.31.362.png,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/100/left-12.13.31.362.ply,
CowDB,100,right,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/100/raw/right/rgb-12.13.31.385.png,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/100/raw/right/depth-12.13.31.385.png,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/100/right-12.13.31.385.ply,
CowDB,100,top,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/100/raw/top/rgb-12.13.31.354.png,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/100/raw/top/depth-12.13.31.354.png,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/100/top-12.13.31.354.ply,
CowDB,101,left,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/101/raw/left/rgb-12.16.09.074.png,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/101/raw/left/depth-12.16.09.074.png,/Users/oreo/Desktop/My Folder/UC Berkeley/Projects/coWeight/data/raw/CowDB/101/left-12.16.09.074.ply,
